channel,m1,c1,m2,c2,sideslip,vw,middle_alpha
C_yaw,-0.0006087851828003863,0.11754886908893271,0.0009027075992893445,0.1136189878554994,-4.0,5.0,2.6
C_L,0.0016674459777357286,0.2121117498838895,0.0011228201301557578,0.21352777708759743,-4.0,10.0,2.6
C_D,-0.00015360719273912072,0.6448733705828625,0.0004461871602438069,0.6433139052651069,-4.0,10.0,2.6
C_S,-0.0002487247858740628,0.06676481780923627,0.0006219167511121352,0.06450114981307215,-4.0,10.0,2.6
C_roll,0.0003986613319434481,-0.08241553166142906,0.0007963843427155813,-0.08344961148943661,-4.0,10.0,2.6
C_pitch,-0.00643236258984794,0.31762721301831903,-0.0047764418739515944,0.31332181915698853,-4.0,10.0,2.6
C_yaw,-0.0002696195118004022,0.11670816674794594,0.0005570568625985793,0.11455880817450859,-4.0,10.0,2.6
C_L,0.0009576954023718607,0.20828615331475447,0.0009581584573859763,0.20828494937171776,-4.0,15.0,2.6
C_D,-0.00045115115378746584,0.6392750256123887,0.0009471319761460638,0.6356394894745615,-4.0,15.0,2.6
C_S,-0.00014621322105351495,0.060344987581314236,0.0008359336567529413,0.05779140569901745,-4.0,15.0,2.6
C_roll,0.0006845891856687037,-0.07737476419380283,0.000495152363873636,-0.07688222845713566,-4.0,15.0,2.6
C_pitch,-0.005705621131835463,0.3214998806324656,-0.00483393457839708,0.31923349559352576,-4.0,15.0,2.6
C_yaw,-6.0775181480610636e-05,0.11485281699810779,0.0006560694927527109,0.11298902084510115,-4.0,15.0,2.6
C_L,0.0010569096519051971,0.2043776752296731,0.00044361729437907905,0.205972235359241,-4.0,20.0,2.6
C_D,-0.0004775960082221562,0.6329025287293641,0.00028615510028874217,0.6309167758472358,-4.0,20.0,2.6
C_S,-2.2609851598750803e-05,0.060702950698153055,-5.85215179617197e-06,0.06065938067866635,-4.0,20.0,2.6
C_roll,0.0008170931373804028,-0.07545503933888244,0.0007686199947698431,-0.07532900916809498,-4.0,20.0,2.6
C_pitch,-0.005584551106544984,0.33217171661031475,-0.0049068390224973266,0.3304096651917908,-4.0,20.0,2.6
C_yaw,-6.149785335904715e-05,0.11330783851272293,-0.00014521861942464118,0.11352551250449347,-4.0,20.0,2.6
C_L,0.000679922494069937,0.19792094043489386,0.00043931433066650546,0.1985465216597428,-4.0,25.0,2.6
C_D,-0.0004473524418398429,0.628094495643405,0.00030061695416750637,0.6261497752137859,-4.0,25.0,2.6
C_S,6.569112589975521e-05,0.06491067304566454,-2.3926811850628764e-05,0.06514367968381554,-4.0,25.0,2.6
C_roll,0.0009537007637817464,-0.07650933814673064,0.0007632295748013195,-0.07601411305538153,-4.0,25.0,2.6
C_pitch,-0.005613920799405288,0.33642586888895687,-0.004741669371439856,0.33415801517624677,-4.0,25.0,2.6
C_yaw,0.0002758979193709501,0.11493170397697673,-0.00013753941336120459,0.11600664104208033,-4.0,25.0,2.6
C_L,0.0027461010827576366,0.20930957802050346,0.002925260835499642,0.20884376266337423,-2.0,5.0,2.6
C_D,0.00027236995982610304,0.6342988558685002,0.00159660568421728,0.6308558429850832,-2.0,5.0,2.6
C_S,-0.0004340346373695888,0.053241708464284734,0.00025375209819670597,0.05145346295181237,-2.0,5.0,2.6
C_roll,-0.0003893034424128091,-0.0704123522387464,0.0017415759225680204,-0.07595263858769655,-2.0,5.0,2.6
C_pitch,-0.0067878365470748206,0.3123228756644239,-0.0067424952419155556,0.31220498827100984,-2.0,5.0,2.6
C_yaw,-0.0002373790565001237,0.07163576219141032,0.0002393448809432875,0.07039627995405745,-2.0,5.0,2.6
C_L,0.0014964939450811299,0.21430430933946196,0.0007774052913760054,0.21617393983909527,-2.0,10.0,2.6
C_D,-0.0002632230930356441,0.631963298625645,0.00023368929117294378,0.6306713264267028,-2.0,10.0,2.6
C_S,9.313119172752616e-05,0.051295364205238426,0.00011592552498096698,0.051236098938779485,-2.0,10.0,2.6
C_roll,-0.00012166971882799087,-0.06670057026292173,0.0008962622878212172,-0.06934719348020967,-2.0,10.0,2.6
C_pitch,-0.006375074156094061,0.3008628802887279,-0.004689869724988168,0.29648134876785254,-2.0,10.0,2.6
C_yaw,9.923187107147065e-05,0.07515538866228078,-7.951783467472527e-05,0.07562013789722088,-2.0,10.0,2.6
C_L,0.0009133387383822618,0.20848806980343662,0.0007750950068329145,0.20884750350546494,-2.0,15.0,2.6
C_D,-0.0002524146337410651,0.6258122933763386,0.00047261463061971655,0.6239272172890006,-2.0,15.0,2.6
