Filename,sample index,Date,Folder,config,aoa,vw_actual,Dpa,Pressure,Temp,Density,vw,sideslip,C_D,C_S,C_L,C_roll,C_pitch,C_yaw,C_D_std,C_S_std,C_L_std,C_roll_std,C_pitch_std,C_yaw_std,SNR(Fx),SNR(Fy),SNR(Fz),SNR(Mx),SNR(My),SNR(Mz),aoa_kite,dyn_vis,Rey
normal_aoa_25_vw_10,9,5-4-2024,data/,normal,25.1,10.04,46.6,1006.93,26.1,1.172,10,-2.0,0.32202584302127724,0.026969916193088535,0.9938825625813005,0.04284686181464696,0.30450274471898897,0.12839115907228027,0.1418776865300953,0.07421586662059171,0.23905763073603958,0.20637856086294878,0.6411790976417249,0.18727964984852302,48.735450135864745,26.022146958488705,55.53015173460138,20.910315904519013,58.161378446646694,22.828832059074315,17.85,1.68167779016156e-05,279884.2933846334
normal_aoa_25_vw_10,10,5-4-2024,data/,normal,25.1,10.04,46.58,1006.87,26.1,1.172,10,-4.0,0.3093530040641446,-0.007136465466356437,0.946479492807431,0.033395028614311484,0.30883646250179764,0.11433259168360668,0.08694805294282834,0.07805648164510803,0.22963569534123443,0.22682489856901206,0.6227667332524304,0.20006394053712284,48.78683031724164,29.13751227946363,55.546362229717325,24.628503957724096,58.287509885266076,28.064770535094084,17.85,1.68167779016156e-05,279884.2933846334
normal_aoa_25_vw_10,11,5-4-2024,data/,normal,25.1,10.03,46.53,1006.85,26.1,1.172,10,-6.0,0.3012501046538872,-0.022250882346152672,0.9312027556498516,0.030938481560150433,0.3314131027720083,0.08430556138857562,0.08219056422931945,0.07678430824567797,0.23160162827396227,0.2230104795207464,0.6288615940522828,0.19725394385674597,48.89441908683027,31.057670648504036,55.551411371374506,26.68566949552557,58.298246689752304,29.677005557262913,17.85,1.68167779016156e-05,279605.52416811476
normal_aoa_25_vw_10,12,5-4-2024,data/,normal,25.1,10.06,46.67,1006.89,26.1,1.172,10,-8.0,0.29002456954793426,-0.048929160873569646,0.9219371132774224,-0.002006854096321613,0.34527621843662043,0.03498390174395423,0.09385582324520031,0.0978085091804529,0.23337281840587032,0.2701391859870029,0.6331834073180759,0.24655738793599727,49.05396926520352,32.53306707621682,55.5502446131021,28.32533727585887,58.265366942355435,31.884269716123143,17.85,1.68167779016156e-05,280441.83181767055
normal_aoa_25_vw_10,13,5-4-2024,data/,normal,25.1,10.04,46.53,1006.82,26.1,1.172,10,-10.0,0.29225316362834614,-0.04619938711614245,0.9209654189791162,0.012762910361638735,0.3567097240546068,0.06269331287866806,0.10413012862677777,0.1206908200065451,0.23791183796850007,0.3142042341743061,0.6415186855631123,0.28967419388867366,49.20559113138881,33.50206488930269,55.55170660132409,29.510252462052357,58.23038309800341,34.78739196988409,17.85,1.68167779016156e-05,279884.2933846334
normal_aoa_25_vw_10,14,5-4-2024,data/,normal,25.1,10.05,46.62,1006.9,26.1,1.172,10,-12.0,0.2981946086153242,-0.03898401444448668,0.9246318123659267,0.024154758456376227,0.3432111873386163,0.09199220650229728,0.08258271110418357,0.09208296949737313,0.23426911203377251,0.2626206183341412,0.638763046117886,0.2302218000858264,49.366834002367554,34.74476166501859,55.55013337546916,30.747406730073006,58.18568344754453,37.93332932324389,17.85,1.68167779016156e-05,280163.062601152
normal_aoa_25_vw_10,15,5-4-2024,data/,normal,25.1,10.04,46.57,1006.71,26.1,1.172,10,-14.0,0.29751638255501184,-0.0490461099805225,0.9336280236786861,0.014882166514005438,0.35912169861438714,0.1114920782711721,0.07217847557977897,0.07984674150585899,0.23712232027199698,0.20802462089564827,0.6423225045101811,0.19491247068277756,49.49845740858294,36.069538463848026,55.545449591576244,32.04469854742932,58.13094382120395,40.56575126476957,17.85,1.68167779016156e-05,279884.2933846334
normal_aoa_25_vw_10,16,5-4-2024,data/,normal,25.1,10.05,46.59,1006.89,26.1,1.172,10,-20.0,0.2925984063444432,-0.09836633476256133,0.9129160715591346,-0.02820180775724918,0.3430083021344074,0.17684713437637073,0.06140499106308811,0.06684302370035815,0.23243046264453396,0.1694050345611838,0.6289394826738677,0.1505643894695865,49.673412676379826,39.267501666268615,55.54911662084784,35.18677699302055,58.159009874318706,46.21309256566811,17.85,1.68167779016156e-05,280163.062601152
normal_aoa_25_vw_15,0,5-4-2024,data/,normal,25.1,15.01,103.97,1006.94,26.5,1.17,15,-20.0,0.3026349546665029,-0.11459343531244773,0.9356072728494383,-0.06299196871563963,0.18547082875842003,0.14300157324901186,0.07475700769951675,0.08111424156296748,0.12026229106446983,0.22086953956822108,0.3488184186822784,0.2017143041816329,56.13061186444378,44.8808457485684,55.092637025456504,41.0065975404265,49.751125366588155,53.10258785516407,17.85,1.6811597859601986e-05,417847.25394129247
normal_aoa_25_vw_15,1,5-4-2024,data/,normal,25.1,15.0,103.43,1006.91,26.6,1.17,15,-14.0,0.2985395091632123,-0.06374867556699636,0.9436339567396965,-0.012436813596209835,0.20039470213934654,0.08843770789505459,0.07514679640153055,0.09278001009062815,0.11768904579985094,0.22863572851111183,0.3464320341596852,0.22013451580999807,55.87746926321669,41.14401396920506,55.09040994917338,37.3892665485931,49.89387458274629,47.533428390312885,17.85,1.68103032573003e-05,417601.03268520074
normal_aoa_25_vw_15,2,5-4-2024,data/,normal,25.1,14.98,103.37,1006.89,26.7,1.17,15,-12.0,0.2940714524997811,-0.04152479690649511,0.9259498174009726,0.013072578747363797,0.23836639154478992,0.09379194626866348,0.06770100743504005,0.08391962005244277,0.1439809973558261,0.20892878986457508,0.42063255025380886,0.244490908179764,55.727623653972636,39.40637843505965,55.10423386223528,35.68731343524969,50.23745087753746,44.157343087246254,17.85,1.680900881850899e-05,417076.3473144435
normal_aoa_25_vw_15,3,5-4-2024,data/,normal,25.1,14.98,103.34,1006.91,26.8,1.17,15,-10.0,0.29985561262490135,-0.05047089843941674,0.9441559287452004,-0.0093020529962833,0.18709506318898453,0.0507621071110849,0.08674114799361321,0.06710264943997997,0.12480657152271478,0.19356634602884823,0.36594263886149186,0.22703387967288208,55.583460414492905,38.166706702959395,55.09546199937219,34.357559840689795,50.30426637135162,41.457958593149336,17.85,1.6807714543342376e-05,417108.46420680976
normal_aoa_25_vw_15,4,5-4-2024,data/,normal,25.1,14.98,103.34,1006.97,26.8,1.169,15,-8.0,0.29689457690767795,-0.06310616259846932,0.9492828716132347,-0.03276494399644925,0.19458019904608953,0.018146357957228295,0.09420988400415334,0.07204627781801815,0.12467112431725362,0.20082149418310785,0.36658024837563363,0.1971359677944488,55.41179340238047,36.946311149174946,55.094574819392506,32.99562280060968,50.470078363025955,39.74777483656231,17.85,1.6807714543342376e-05,416751.9612459493
normal_aoa_25_vw_15,5,5-4-2024,data/,normal,25.1,14.98,103.45,1006.9,26.9,1.169,15,-6.0,0.3135747891542865,-0.04457380366125324,0.9593873062586947,-0.00838500575817451,0.16509208383254173,0.058260011559130506,0.08139502583036538,0.07738441233537535,0.12570825594110918,0.21543203591837423,0.3704796108418,0.19921149419551074,55.27755017024425,34.98735254877169,55.08991766953446,30.99124325094134,50.536981824177985,38.39828955119508,17.85,1.680642043191446e-05,416784.0515698728
normal_aoa_25_vw_15,6,5-4-2024,data/,normal,25.1,14.98,103.27,1006.93,26.9,1.169,15,-4.0,0.3228969042764393,-0.024330788407829724,0.9966135467755354,-0.0009642302911025923,0.16067098797182777,0.10146637322621471,0.1101100990148251,0.08238951859660185,0.128704886146604,0.22138868155322375,0.3748817463356562,0.20322620283828113,55.18293749266362,31.75426309128002,55.0649754369448,27.237500849497177,50.049256893764806,36.50675559733604,17.85,1.680642043191446e-05,416784.0515698728
normal_aoa_25_vw_15,7,5-4-2024,data/,normal,25.1,14.98,103.33,1006.91,26.9,1.169,15,-2.0,0.31699265509371277,0.011639477234733344,1.0115652628907328,0.01833408518180128,0.16188843136328374,0.11014244797050511,0.12014205041209754,0.09117861317238997,0.13559297657506655,0.21305592013775804,0.38637587286147784,0.20251432716397202,55.048326252418676,26.260647878047354,55.05328694725194,20.945569956858765,49.97567310442728,31.74599844239511,17.85,1.680642043191446e-05,416784.0515698728
normal_aoa_25_vw_15,8,5-4-2024,data/,normal,25.1,14.98,103.33,1006.95,27.0,1.169,15,0.0,0.3197253513961206,0.0010936814159468874,1.0162829535141098,-0.02093597490553867,0.13564083076982072,0.037029315821384204,0.1089242664189771,0.07045366619639715,0.1312924161490055,0.19921847391154482,0.3839532583689458,0.17777909038794457,54.97769245893156,22.24851853493992,55.05430536035235,15.442622229019477,50.16306255180294,28.206876871865568,17.85,1.6805126484338935e-05,416816.14277213474
