Date;Folder;Filename;config;aoa;sideslip;vw;Dpa;Pressure;Temp;Density;;rows;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_00;without;9,85;-12;0;-0,08;1005,62;20,2;1,194;;15;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_00;without;9,85;-14;0;-0,08;1005,61;20,2;1,194;;16;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_00;without;9,85;-20;0;-0,06;1005,6;20,2;1,194;;17;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_05;without;9,85;-20;4,99;11,7;1005,4;20,1;1,194;;1;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_05;without;9,85;-14;4,99;11,68;1005,38;20,2;1,194;;2;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_05;without;9,85;-12;4,99;11,68;1005,37;20,2;1,194;;3;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_05;without;9,85;-10;4,99;11,68;1005,37;20,2;1,194;;4;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_05;without;9,85;-8;4,99;11,68;1005,36;20,2;1,194;;5;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_05;without;9,85;-6;4,99;11,69;1005,35;20,2;1,194;;6;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_05;without;9,85;-4;4,99;11,71;1005,36;20,2;1,194;;7;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_05;without;9,85;-2;4,99;11,68;10045,34;20,2;1,194;;8;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_05;without;9,85;0;4,99;11,7;1005,32;20,3;1,194;;9;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_05;without;9,85;2;4,99;11,7;1005,32;20,3;1,194;;10;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_05;without;9,85;4;4,99;11,68;1005,32;20,3;1,194;;11;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_05;without;9,85;6;4,99;11,7;1005,32;20,3;1,194;;12;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_05;without;9,85;8;4,99;11,68;1005,33;20,3;1,193;;13;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_05;without;9,85;10;4,99;11,68;1005,33;20,3;1,193;;14;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_05;without;9,85;12;4,99;11,69;1005,34;20,3;1,193;;15;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_05;without;9,85;14;4,99;11,7;1005,34;20,3;1,193;;16;;;;;;;;;
